,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,elev_high,elev_low
10,2,Morning Run,2877.2,993,1042,4.6,Run,4342639015,27E7473B-E15E-40A1-9EB3-83D129641658.fit,4642027508,2020-11-15T15:43:01Z,2020-11-15T10:43:01Z,(GMT-05:00) America/Toronto,-18000.0,"[43.455179, -80.518088]","[43.450447, -80.497585]",,,Canada,43.455179,-80.518088,0,4,0,1,0,False,False,False,False,followers_only,False,g6591411,False,4642027508,2.897,4.9,True,177.7,188.0,False,True,0,0,False,60.0,61977875,1,a4342639015,yifhG`emjN^OnBmAfGgDvDaCp@[lEkCrMmHj@a@tB_Bf@m@b@u@fB}BXq@~@mDh@mCjA_FtCsKNeAZw@RqAFOVWDILgA`@}B^}BVcCBg@A_@KISG}@OYI[QUSIQIY@iACSEQSYYKY@i@LGAIEIOEWe@q@a@_AY_Ac@iBYk@GCYDULm@d@GBGGISG_@i@wEMq@KOWSkAk@kAs@qAk@cB_AcB{@MCM@KFc@z@a@b@,2,0.0,330.7,324.5
11,2,Morning Run,2965.3,941,1014,6.2,Run,4342638899,B74A747F-6727-4944-98CD-A1EADB0DC4DB.fit,4642027396,2020-11-15T15:24:28Z,2020-11-15T10:24:28Z,(GMT-05:00) America/Toronto,-18000.0,"[43.450437, -80.4975]","[43.455205, -80.518015]",,,Canada,43.450437,-80.4975,2,5,0,1,0,False,False,False,False,followers_only,False,g6591411,False,4642027396,3.151,6.0,True,175.3,186.0,False,True,0,2,False,54.0,61977875,1,a4342638899,elehGjdijNZe@l@sAXy@h@{BDKJIXDrBt@pBpAj@V|@VRLp@x@Tb@Tv@pAjH`@rBl@pBh@rBr@dBh@fANNF@LA`@MRAH?NFPPJRBTCv@@`@JZTX`@TxAVVJDDAh@Kt@}@lGYbCI\a@|@WjA{@`DmA|D{BzIy@nDy@pCa@jAe@`Ai@z@kA~A_Ax@qBpAwJpFiFzCoBlAwBjAuAx@gAh@mGrDg@T,2,0.0,330.7,324.3
12,2,Lunch Run,3143.4,1099,1099,22.7,Run,4337530075,0EA8D44D-49DB-49B4-A9A7-B3D1475F956D.fit,4636617803,2020-11-14T16:49:43Z,2020-11-14T11:49:43Z,(GMT-05:00) America/Toronto,-18000.0,"[43.382926, -80.428949]","[43.382754, -80.429414]",,,Canada,43.382926,-80.428949,0,5,0,1,0,False,False,False,False,followers_only,False,g6591411,False,4636617803,2.86,4.4,True,170.7,185.0,False,True,0,0,False,54.0,61977875,1,a4337530075,gfxgG|w{iN_@Ka@Ak@Ni@X_@ZgDfDk@v@CRHRf@l@L^Dd@EpA@DBBl@H~CDtAGj@@d@NlAr@TPb@p@bAtBLv@RnBDn@?bABHRR^LZBv@Cb@FLLN\^fBDh@ChAOxAKb@S\OJe@NOHSRQVM\K^Gv@EzABt@j@vDTbAJDL@h@EfD_AfAO|A_@bEy@bCi@f@SNoBJ]Zi@Da@Cy@UcDUuBCo@J_Al@mEDu@CMWSYO{EyAgASs@e@u@YgBg@cCi@i@IUIQQu@gA_@g@a@]}@q@e@g@]q@a@wAMYWC_ABQCEEGOGa@O{A,2,,317.1,294.1
13,2,Evening Run,4676.5,1528,1780,16.2,Run,4325016453,A4C0873D-D3D0-4D2B-A8D0-EC655F409665.fit,4623304502,2020-11-11T23:35:57Z,2020-11-11T18:35:57Z,(GMT-05:00) America/Toronto,-18000.0,"[43.469466, -80.534574]","[43.469085, -80.534382]",,,Canada,43.469466,-80.534574,1,7,0,1,0,False,False,False,False,followers_only,False,g6591411,False,4623304502,3.061,5.0,True,158.3,187.0,False,True,1,0,False,45.0,61977875,1,a4325016453,ccihGblpjNNJJ@T`ACXKb@Yt@_@n@m@x@oBlBK`@[lBu@dCeFbKWZWTeAf@]RQXc@dA]j@Y`@_@^oBdBYPwAn@aB|@sA`A_A\yAn@e@N{@LYHaBx@s@Z{Cz@}DbB}Ah@kBf@sAV]DcABg@LL@f@EnAAx@Mt@OnC_A~BcAxBo@zEmBrEcBn@]p@MPGjAs@rAm@pC}At@e@vCaCfByBdAo@LOR_@pBuE|@aBl@qAn@iBnCqGzAuCv@gBb@m@^s@Ne@Ha@?_@G}@@SJ]PWt@y@rBiCpBsCh@k@|@w@rBaCrAwBXk@Tm@eBfCeA`BqC~CqDhEo@v@iAbBe@l@O\Q`AKZQ\Y^,2,0.0,343.8,326.4
14,2,Lunch Run,5062.9,1823,2020,9.6,Run,4309594330,C81E7FFA-39D7-40B3-B1DF-17006E6121EE.fit,4606910476,2020-11-08T17:36:56Z,2020-11-08T12:36:56Z,(GMT-05:00) America/Toronto,-18000.0,"[43.450866, -80.497176]","[43.450187, -80.497039]",,,Canada,43.450866,-80.497176,2,8,0,1,0,False,False,False,False,followers_only,False,g6591411,False,4606910476,2.777,5.7,True,162.8,178.0,False,True,0,0,False,65.0,61977875,1,a4309594330,{nehGjbijNx@Vd@FP@PS`@iAz@uDHSFEL?RFnChAh@VhAt@XLb@HVPfArAXn@TbAr@nEx@fExA|EhArCHJHBJ?t@OP@NHPRH^@jA@PJXPRVL|A\TLLL?\OfBkA~GSrBYz@aCfJcA|Ce@bBk@jCa@pAgArEa@pA]z@]h@aBpBe@t@UPe@Zs@l@o@b@wAt@mAt@iBv@cDpBgAx@kCvARA~CmBj@Wb@Ox@OXMXQtAoAlBwAh@[dAa@j@]tB_B^_@|@{Ap@}@Xe@L[^kBj@iBpA{F~CkL`@sB\eAPaAb@uAVeB`AmFXgCCe@MWWIoAOOEWS]k@IUb@gAM[QQe@]WDk@VK?MK}AyC[aAg@oBSe@KEUDeAt@QDO?GUC_A[mDKw@EIQSc@[oBeAcC_BkBaAg@S]KW?WB,2,0.0,329.9,324.3
15,2,Lunch Run,5963.0,1991,2139,11.1,Run,4303731606,02B792FD-9438-4AD5-B36B-AAD5529FEB64.fit,4600680821,2020-11-07T17:37:54Z,2020-11-07T12:37:54Z,(GMT-05:00) America/Toronto,-18000.0,"[43.450418, -80.497419]","[43.450424, -80.497436]",,,Canada,43.450418,-80.497419,5,7,0,1,0,False,False,False,False,followers_only,False,g6591411,False,4600680821,2.995,4.6,True,184.6,198.0,False,True,3,1,False,134.0,61977875,1,a4303731606,alehGzcijNbAyBrA{D@CFARB`@LtBbAnBfAXJT@LFr@j@f@p@Vl@Nj@\`Cl@rCZ|BLl@hA~D|AlDFHRB`AURBFBJNJZBV@hAFTLT^T`Bb@b@TCr@KbAiAhHMtBgBxEaAhEcA`DoAzFy@vCs@vCUl@{@pB]n@[b@_AbAgBzAwA`AgAj@uBnAqB|@i@XyCjBcAh@kA|@uAp@wChBgKtFuAf@UNYZBBRAn@i@vB}@bCyAjB}@zBmAzAaAZO^Kb@UVUp@WtC{Bn@[xAi@hBkA`CeBvBcApAeAx@i@h@i@^i@t@_An@eB`@kBr@uBZeAjAiF|@_Dz@wDbAyC^eB`@}A^kBbAaHJkA@g@CQQKmAYa@Qa@]_@e@IQJY^e@BMIMYWWKU?q@NSEKMaAcBQ_@Uu@g@{BO[MMMEU@aAf@[DEGIc@e@uEM}@Yg@a@a@UO}@Uu@e@kAk@}@i@eA]{@a@U?OFUTk@l@,2,0.0,330.9,324.3
16,2,Afternoon Run,5010.3,1698,1913,23.7,Run,4287405758,F2BF0613-E6CD-4E53-BC4D-F976FC106786.fit,4586156261,2020-11-04T22:58:46Z,2020-11-04T17:58:46Z,(GMT-05:00) America/Toronto,-18000.0,"[43.45147, -80.497031]","[43.451629, -80.496767]",,,Canada,43.45147,-80.497031,3,5,0,1,0,False,False,False,False,followers_only,False,g6591411,False,4586156261,2.951,4.4,True,173.5,195.0,False,True,2,0,False,94.0,61977875,1,a4287405758,urehGnaijNbBn@TFb@D`@E`A]REXATFZLlC~A`Bt@hAr@nAn@VPXlAf@zDH`@LXFFL@j@e@LIL?F@LLP\t@fC`BrDHDL?h@ORCPBJHNVDNAzADTFPTVVN\HhAR\LBLGbAQlAk@|CYzBOxAa@dA]zAUh@w@`D{@xC_AxDaClI{AdFO\Yb@aAnAuAtAaAr@q@ZcAv@gDjBuBrAiAf@kAz@iAl@aAn@m@Zw@VmAv@kCxA{ClBwBbAaAl@UHU@UMOa@Kc@SaBK_@gA_@i@Sq@g@eA_@_Am@qBgA{@o@QY?QNcA^kBlAqEfBiHXeB^{AlAyFh@uBf@wCv@mDfAoE~@gDn@iEFw@Bw@D]Ja@v@sBj@gDfAeDNu@d@sC\wA`@qAt@mBR{@N_A?yABo@Fg@RgA\cAb@o@R?\DhA^,2,0.0,348.2,324.5
17,2,Lunch Run,5854.5,1883,2363,11.0,Run,4272866439,52A07E77-34D3-465C-B676-E6515FD06893.fit,4570752046,2020-11-01T17:11:40Z,2020-11-01T12:11:40Z,(GMT-05:00) America/Toronto,-18000.0,"[43.45048, -80.497352]","[43.450487, -80.497444]",,,Canada,43.45048,-80.497352,5,4,0,2,0,False,False,False,False,followers_only,False,g6591411,False,4570752046,3.109,6.9,True,173.2,189.0,False,True,1,0,False,100.0,61977875,1,a4272866439,olehGncijN^OPUdByEJSDED?R@VJvE`CvAb@XRTTf@l@Th@lBjLLd@d@nAd@tBTn@rA~BLNLDF?l@GN?LFTTLXBNEv@Nn@RTPJPDhANZLLJ@\Ap@QnBo@fDg@bDg@`BMzA]p@c@lAyAdFyEjR[~@_@z@}BfDcA~@iAx@yBjAsElCuCvAaBdAmAp@wAdAcBfAkBx@{@b@gDtBoDlBCDBJd@SxAcA|@e@lHgErAs@jAg@j@e@rA{@|EiCfAs@nAq@bBiArAq@xC}Bx@}@r@cAx@{AdBgEf@yC`AkExD{NV}AP{@x@iCd@sC`@iDD{@Ci@YOcAQ]K[SQUSa@EU\q@FSMWUUQKQCu@RQ@OEOQmAcCe@iBSoAGIg@WUF_Ab@_@?MaA[sDSkA_@YyAu@eEgC_DsAG?UJgA`A,2,0.0,330.7,324.3
18,2,Evening Run,6057.8,2082,2440,12.0,Run,4263985022,ADE59F32-FB35-481E-87B9-952B824B3B90.fit,4561302313,2020-10-30T22:12:34Z,2020-10-30T18:12:34Z,(GMT-05:00) America/Toronto,-14400.0,"[43.450327, -80.497569]","[43.450528, -80.497466]",,,Canada,43.450327,-80.497569,8,3,0,2,0,False,False,False,False,followers_only,False,g6591411,False,4561302313,2.91,5.6,True,160.7,178.0,False,True,2,0,False,75.0,61977875,1,a4263985022,okehGxdijNj@iB|@sDZo@N?XDpDfBfAd@fAZTRd@p@`@ZVx@l@~DjAhGzA`FtA~CDFLBH?n@SLAJBLFPVH\@`@G|@DJf@d@jBf@\LDFAv@MjA{AzJc@tASpAaFjQuCdL_@fAi@bA_@n@{@jAS\iDjC_CjA}ChB_Bx@mEdC{BxAaEtBeBnAqH~D}@VWLa@\ADHFZ_@ROJEb@CRI|@i@`@YvE_CtAy@lBeA`BgAlBeAxBuAn@YtAa@b@UrC_CfAq@tAm@jAu@xAwAx@kAxAkBT[Ra@fAaDb@kC`ByHlCaKnAeER{AfAgGPmB@o@A][O{A_@OIs@gA?GJk@?UI[KUUSSCQ@g@PSESUmAeCW}@YgBg@gAc@gCq@uCo@aEI]MOYS]]QMiAc@oEoCcAc@QCCBEJc@pAc@|@s@~BQX]X,2,,330.9,324.3
19,2,Evening Run,4529.8,1565,1648,23.4,Run,4256334107,65F6A8E5-4176-4966-976B-FCA5BE1FCC4E.fit,4553181381,2020-10-28T22:14:34Z,2020-10-28T18:14:34Z,(GMT-05:00) America/Toronto,-14400.0,"[43.450484, -80.497047]","[43.450774, -80.497452]",,,Canada,43.450484,-80.497047,4,5,0,1,0,False,False,False,False,followers_only,False,g6591411,False,4553181381,2.894,4.5,True,167.7,180.0,False,True,2,0,False,71.0,61977875,1,a4256334107,olehGpaijNTBNCLGJMVm@r@_CPa@FE^Fh@PhDbBjBp@\V`AdAVh@Pz@`@|Cz@|ERp@v@vBp@zBn@~AVd@PLRAp@UL?HDLPDNDb@BfADRHRTVZPXJ~@PXLDFAb@MdB_@hC_ArF_@dAo@vB_B|GmBbH}BjJg@nAuAlC]j@]`@mApAi@d@}@d@i@^mB`AoEhC_Bv@mD~BgAh@u@VIIK_@u@{E[iCUkAYaAq@eBaAcDMk@WaB]w@e@cBQkAa@eAWy@{@sEE]BSt@gEJw@@_@CYMk@Uq@SWo@m@KK?Cd@qB^iCpAkFp@}DrA{Ej@kDtAyEl@yATy@H_A?i@Ea@Be@ReBRu@PSPCjAVdAJh@PvBjA,2,0.0,345.9,324.3
